item,family,question_text,option_code,option_label,option_position,n_options,option_text,paired_coverage,entropy_nats
CC20_410,CC20_410,CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name,2,Donald J. Trump (Republican),1,6,Question: CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name Response option: Donald J. Trump (Republican),0.8855502318092763,0.8346931356876407
CC20_410,CC20_410,CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name,4,Other (open [CC20_410_t]) Not randomized,2,6,Question: CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name Response option: Other (open [CC20_410_t]) Not randomized,0.8855502318092763,0.8346931356876407
CC20_410,CC20_410,CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name,5,I did not vote in this race Not randomized,3,6,Question: CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name Response option: I did not vote in this race Not randomized,0.8855502318092763,0.8346931356876407
CC20_410,CC20_410,CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name,6,I did not vote Not randomized,4,6,Question: CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name Response option: I did not vote Not randomized,0.8855502318092763,0.8346931356876407
CC20_410,CC20_410,CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name,7,Not sure Not randomized,5,6,Question: CC20_410 SINGLE CHOICE For whom did you vote for President of the United States? Pres vote order randomize 1 ○ Joe Biden (Democrat) 2 ○ Donald J. Trump (Republican) 4 ○ Other (open [CC20_410_t]) Not randomized 5 ○ I did not vote in this race Not randomized 6 ○ I did not vote Not randomized 7 ○ Not sure Not randomized 98 Skipped 99 Not Asked Page: implicit_page_CC20_411 CC20_411- Show if (SenCand1Name Response option: Not sure Not randomized,0.8855502318092763,0.8346931356876407
CC20_431a,CC20_431,Show if 6 in CC20_430a OPEN INTEGER TEXTBOX Approximately how much did you contribute to all candidates and committees over the last year? contribute to all candidates/committees min 1 max 1000000 left &dollar; Page: implicit_page_CC20_431a CC20_431a SINGLE CHOICE Did a candidate or political campaign organization contact you during the 2020 election? run for elective office 1 ○ Yes 2 ○ No 8 Skipped 9 Not Asked Page: implicit_page_CC20_431b CC20_431b- Show if CC20_431a == 1 MULTIPLE CHOICE How did these candidates or campaigns contact you? Check all that apply. for office 1 □ In person 2 □ Phone call,1,Yes,0,2,Question: Show if 6 in CC20_430a OPEN INTEGER TEXTBOX Approximately how much did you contribute to all candidates and committees over the last year? contribute to all candidates/committees min 1 max 1000000 left &dollar; Page: implicit_page_CC20_431a CC20_431a SINGLE CHOICE Did a candidate or political campaign organization contact you during the 2020 election? run for elective office 1 ○ Yes 2 ○ No 8 Skipped 9 Not Asked Page: implicit_page_CC20_431b CC20_431b- Show if CC20_431a == 1 MULTIPLE CHOICE How did these candidates or campaigns contact you? Check all that apply. for office 1 □ In person 2 □ Phone call Response option: Yes,0.9986421213943474,0.6574293619214674
CC20_431a,CC20_431,Show if 6 in CC20_430a OPEN INTEGER TEXTBOX Approximately how much did you contribute to all candidates and committees over the last year? contribute to all candidates/committees min 1 max 1000000 left &dollar; Page: implicit_page_CC20_431a CC20_431a SINGLE CHOICE Did a candidate or political campaign organization contact you during the 2020 election? run for elective office 1 ○ Yes 2 ○ No 8 Skipped 9 Not Asked Page: implicit_page_CC20_431b CC20_431b- Show if CC20_431a == 1 MULTIPLE CHOICE How did these candidates or campaigns contact you? Check all that apply. for office 1 □ In person 2 □ Phone call,2,No,1,2,Question: Show if 6 in CC20_430a OPEN INTEGER TEXTBOX Approximately how much did you contribute to all candidates and committees over the last year? contribute to all candidates/committees min 1 max 1000000 left &dollar; Page: implicit_page_CC20_431a CC20_431a SINGLE CHOICE Did a candidate or political campaign organization contact you during the 2020 election? run for elective office 1 ○ Yes 2 ○ No 8 Skipped 9 Not Asked Page: implicit_page_CC20_431b CC20_431b- Show if CC20_431a == 1 MULTIPLE CHOICE How did these candidates or campaigns contact you? Check all that apply. for office 1 □ In person 2 □ Phone call Response option: No,0.9986421213943474,0.6574293619214674
CC20_433a,CC20_433,[CC20_433_t]) 8 Skipped 9 Not Asked Page: implicit_page_CC20_433_dem CC20_433_dem- Show if CC20_433a==1 SINGLE CHOICE Would you call yourself a strong Democrat or not so strong Democrat?,1,Democrat,0,4,Question: [CC20_433_t]) 8 Skipped 9 Not Asked Page: implicit_page_CC20_433_dem CC20_433_dem- Show if CC20_433a==1 SINGLE CHOICE Would you call yourself a strong Democrat or not so strong Democrat? Response option: Democrat,1.0,1.22364132788346
CC20_433a,CC20_433,[CC20_433_t]) 8 Skipped 9 Not Asked Page: implicit_page_CC20_433_dem CC20_433_dem- Show if CC20_433a==1 SINGLE CHOICE Would you call yourself a strong Democrat or not so strong Democrat?,2,Republican,1,4,Question: [CC20_433_t]) 8 Skipped 9 Not Asked Page: implicit_page_CC20_433_dem CC20_433_dem- Show if CC20_433a==1 SINGLE CHOICE Would you call yourself a strong Democrat or not so strong Democrat? Response option: Republican,1.0,1.22364132788346
CC20_433a,CC20_433,[CC20_433_t]) 8 Skipped 9 Not Asked Page: implicit_page_CC20_433_dem CC20_433_dem- Show if CC20_433a==1 SINGLE CHOICE Would you call yourself a strong Democrat or not so strong Democrat?,3,Independent,2,4,Question: [CC20_433_t]) 8 Skipped 9 Not Asked Page: implicit_page_CC20_433_dem CC20_433_dem- Show if CC20_433a==1 SINGLE CHOICE Would you call yourself a strong Democrat or not so strong Democrat? Response option: Independent,1.0,1.22364132788346
CC20_433a,CC20_433,[CC20_433_t]) 8 Skipped 9 Not Asked Page: implicit_page_CC20_433_dem CC20_433_dem- Show if CC20_433a==1 SINGLE CHOICE Would you call yourself a strong Democrat or not so strong Democrat?,4,Other (open [CC20_433_t]),3,4,Question: [CC20_433_t]) 8 Skipped 9 Not Asked Page: implicit_page_CC20_433_dem CC20_433_dem- Show if CC20_433a==1 SINGLE CHOICE Would you call yourself a strong Democrat or not so strong Democrat? Response option: Other (open [CC20_433_t]),1.0,1.22364132788346
CC20_440a,CC20_440,"8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree",1,Strongly agree,0,5,"Question: 8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree Response option: Strongly agree",0.999437450291944,1.5196935910291782
CC20_440a,CC20_440,"8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree",2,Somewhat agree,1,5,"Question: 8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree Response option: Somewhat agree",0.999437450291944,1.5196935910291782
CC20_440a,CC20_440,"8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree",3,Neither agree nor disagree,2,5,"Question: 8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree Response option: Neither agree nor disagree",0.999437450291944,1.5196935910291782
CC20_440a,CC20_440,"8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree",4,Somewhat disagree,3,5,"Question: 8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree Response option: Somewhat disagree",0.999437450291944,1.5196935910291782
CC20_440a,CC20_440,"8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree",5,Strongly disagree,4,5,"Question: 8 ○ Not sure 98 Skipped 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree Response option: Strongly disagree",0.999437450291944,1.5196935910291782
CC20_440b,CC20_440,"99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree 8 Skipped 9 Not Asked",1,Strongly agree,0,5,"Question: 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree 8 Skipped 9 Not Asked Response option: Strongly agree",0.9753448041745068,1.4821873365804747
CC20_440b,CC20_440,"99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree 8 Skipped 9 Not Asked",2,Somewhat agree,1,5,"Question: 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree 8 Skipped 9 Not Asked Response option: Somewhat agree",0.9753448041745068,1.4821873365804747
CC20_440b,CC20_440,"99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree 8 Skipped 9 Not Asked",3,Neither agree nor disagree,2,5,"Question: 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree 8 Skipped 9 Not Asked Response option: Neither agree nor disagree",0.9753448041745068,1.4821873365804747
CC20_440b,CC20_440,"99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree 8 Skipped 9 Not Asked",4,Somewhat disagree,3,5,"Question: 99 Not Asked Page: implicit_page_CC20_440_grid CC20_440_grid DYNAMIC GRID Do you agree or disagree with the following statements? /Sexual agreement ROWS CC20_440a White people in the U.S. have certain advantages because of the color of their skin. CC20_440b Racial problems in the U.S. are rare, isolated situations. CC20_440c Women seek to gain power by getting control over men. CC20_440d Women are too easily offended. COLUMNS 1 ○ Strongly agree 2 ○ Somewhat agree 3 ○ Neither agree nor disagree 4 ○ Somewhat disagree 5 ○ Strongly disagree 8 Skipped 9 Not Asked Response option: Somewhat disagree",0.9753448041745068,1.4821873365804747
