item,family,wave,question_text,option_code,option_label,option_position,n_options,option_text,paired_coverage,entropy_nats
CC20_303,CC20_303,source_pre,"[CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot",5,Decreased a lot varlabel: None,4,5,"Question: [CC20_303] {single} OVER THE PAST YEAR, has your household's annual income…? (Allows one selection) ◯ [1] Increased a lot ◯ [2] Increased somewhat ◯ [3] Stayed about the same ◯ [4] Decreased somewhat ◯ [5] Decreased a lot Response option: Decreased a lot varlabel: None",0.9987003161917324,1.2666130216247058
CC20_307,CC20_307,source_pre,[CC20_307] {single} Do the police make you feel...? (Allows one selection) ◯ [1] Mostly safe ◯ [2] Somewhat safe ◯ [3] Somewhat unsafe ◯ [4] Mostly unsafe,1,Mostly safe,0,4,Question: [CC20_307] {single} Do the police make you feel...? (Allows one selection) ◯ [1] Mostly safe ◯ [2] Somewhat safe ◯ [3] Somewhat unsafe ◯ [4] Mostly unsafe Response option: Mostly safe,0.9987003161917324,1.1671283804179653
CC20_307,CC20_307,source_pre,[CC20_307] {single} Do the police make you feel...? (Allows one selection) ◯ [1] Mostly safe ◯ [2] Somewhat safe ◯ [3] Somewhat unsafe ◯ [4] Mostly unsafe,2,Somewhat safe,1,4,Question: [CC20_307] {single} Do the police make you feel...? (Allows one selection) ◯ [1] Mostly safe ◯ [2] Somewhat safe ◯ [3] Somewhat unsafe ◯ [4] Mostly unsafe Response option: Somewhat safe,0.9987003161917324,1.1671283804179653
CC20_307,CC20_307,source_pre,[CC20_307] {single} Do the police make you feel...? (Allows one selection) ◯ [1] Mostly safe ◯ [2] Somewhat safe ◯ [3] Somewhat unsafe ◯ [4] Mostly unsafe,3,Somewhat unsafe,2,4,Question: [CC20_307] {single} Do the police make you feel...? (Allows one selection) ◯ [1] Mostly safe ◯ [2] Somewhat safe ◯ [3] Somewhat unsafe ◯ [4] Mostly unsafe Response option: Somewhat unsafe,0.9987003161917324,1.1671283804179653
CC20_307,CC20_307,source_pre,[CC20_307] {single} Do the police make you feel...? (Allows one selection) ◯ [1] Mostly safe ◯ [2] Somewhat safe ◯ [3] Somewhat unsafe ◯ [4] Mostly unsafe,4,Mostly unsafe varlabel: None,3,4,Question: [CC20_307] {single} Do the police make you feel...? (Allows one selection) ◯ [1] Mostly safe ◯ [2] Somewhat safe ◯ [3] Somewhat unsafe ◯ [4] Mostly unsafe Response option: Mostly unsafe varlabel: None,0.9987003161917324,1.1671283804179653
CC20_309e,CC20_309,source_pre,[CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor,1,Excellent,0,5,Question: [CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor Response option: Excellent,0.9995732381525092,1.3830534380462305
CC20_309e,CC20_309,source_pre,[CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor,2,Very good,1,5,Question: [CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor Response option: Very good,0.9995732381525092,1.3830534380462305
CC20_309e,CC20_309,source_pre,[CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor,3,Good,2,5,Question: [CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor Response option: Good,0.9995732381525092,1.3830534380462305
CC20_309e,CC20_309,source_pre,[CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor,4,Fair,3,5,Question: [CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor Response option: Fair,0.9995732381525092,1.3830534380462305
CC20_309e,CC20_309,source_pre,[CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor,5,Poor varlabel: None,4,5,Question: [CC20_309e] {single} Would you say that in general your health is... (Allows one selection) ◯ [1] Excellent ◯ [2] Very good ◯ [3] Good ◯ [4] Fair ◯ [5] Poor Response option: Poor varlabel: None,0.9995732381525092,1.3830534380462305
CC20_327a,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not",1,Support,0,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not Response option: Support",0.9983317491416268,0.6661757769144323
CC20_327a,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not",2,Oppose,1,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not Response option: Oppose",0.9983317491416268,0.6661757769144323
CC20_327b,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯",1,Support,0,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ Response option: Support",0.9978855890283408,0.3031319977107851
CC20_327b,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯",2,Oppose,1,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ Response option: Oppose",0.9978855890283408,0.3031319977107851
CC20_327c,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries.",1,Support,0,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. Response option: Support",0.997943783825726,0.679242819527573
CC20_327c,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries.",2,Oppose,1,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. Response option: Oppose",0.997943783825726,0.679242819527573
CC20_327d,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯",1,Support,0,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯ Response option: Support",0.9975752167756202,0.6746825208427244
CC20_327d,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯",2,Oppose,1,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯ Response option: Oppose",0.9975752167756202,0.6746825208427244
CC20_327e,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯",1,Support,0,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯ Response option: Support",0.9980795716862912,0.6774241871896761
CC20_327e,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯",2,Oppose,1,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯ Response option: Oppose",0.9980795716862912,0.6774241871896761
CC20_327f,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯",1,Support,0,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯ Response option: Support",0.9978467924967508,0.609673679844086
CC20_327f,CC20_327,source_pre,"[CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯",2,Oppose,1,2,"Question: [CC20_327grid] {grid} Thinking now about health care policy, would you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_327a] Expand Medicare to a single comprehensive public health care coverage program that would cover all Americans. ◯ ◯ [CC20_327b] Allow the government to negotiate with drug companies to get a lower price on prescription drugs that would apply to both Medicare and private insurance. Maximum negotiated price could not exceed 120% of the average prices in 6 other countries. ◯ ◯ [CC20_327c] Lower the eligibility age for Medicare from 65 to 50. ◯ ◯ [CC20_327d] Repeal the entire Affordable Care Act. ◯ ◯ [CC20_327e] Restore the Affordable Care Act’s mandate that all individuals be purchase health insurance. ◯ ◯ [CC20_327f] Allow states to import prescription drugs from other countries. ◯ ◯ Response option: Oppose",0.9978467924967508,0.609673679844086
CC20_330a,CC20_330,source_pre,"[CC20_330grid] {grid} On the issue of gun regulation, do you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_330a] Prohibit state and local governments from publishing the names and addresses of all gun owners ◯ ◯ [CC20_330b] Ban assault rifles ◯ ◯ [CC20_330c] Make it easier for people to obtain concealed-carry permit ◯ ◯",1,Support,0,2,"Question: [CC20_330grid] {grid} On the issue of gun regulation, do you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_330a] Prohibit state and local governments from publishing the names and addresses of all gun owners ◯ ◯ [CC20_330b] Ban assault rifles ◯ ◯ [CC20_330c] Make it easier for people to obtain concealed-carry permit ◯ ◯ Response option: Support",0.9997672208104595,0.69019992333182
CC20_330a,CC20_330,source_pre,"[CC20_330grid] {grid} On the issue of gun regulation, do you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_330a] Prohibit state and local governments from publishing the names and addresses of all gun owners ◯ ◯ [CC20_330b] Ban assault rifles ◯ ◯ [CC20_330c] Make it easier for people to obtain concealed-carry permit ◯ ◯",2,Oppose,1,2,"Question: [CC20_330grid] {grid} On the issue of gun regulation, do you support or oppose each of the following proposals? [1] Support [2] Oppose [CC20_330a] Prohibit state and local governments from publishing the names and addresses of all gun owners ◯ ◯ [CC20_330b] Ban assault rifles ◯ ◯ [CC20_330c] Make it easier for people to obtain concealed-carry permit ◯ ◯ Response option: Oppose",0.9997672208104595,0.69019992333182
